item_id,brand,shop_id,cate,
226519,6302,2399,79,
63114,9167,4216,79,
372345,2748,7125,79,
366931,2698,10252,79,
174979,8368,871,79,
295436,6302,2399,79,
282251,6302,2399,79,
146764,6302,2399,79,
130851,6302,2399,79,
150184,2748,9541,79,
114345,6574,4071,79,
98950,8368,871,79,
188988,6574,4071,79,
106591,8103,7575,79,
251912,6111,1570,79,
140059,4217,7011,79,
110630,4217,7011,79,
196053,5192,652,79,
227772,9167,4216,79,
228234,5192,652,79,
271298,5192,652,79,
133835,3274,6700,79,
208319,5192,652,79,
313911,9167,4216,79,
151783,9268,1259,79,
5374,10435,8501,79,
134395,2698,10252,79,
228138,6302,2399,79,
73526,10614,9389,79,
86302,6302,2399,79,
217122,6302,2399,79,
14750,10435,8330,79,
80215,6302,7129,79,
253840,6302,7129,79,
354373,10435,6075,79,
180753,6302,1345,79,
284293,6302,1345,79,
188267,2300,2375,79,
133191,6302,1345,79,
195692,6302,1345,79,
207669,6302,1345,79,
94010,10435,8330,79,
262860,6302,1345,79,
252344,9167,4216,79,
173463,6302,6004,79,
212106,6302,6515,79,
220171,6302,7579,79,
169499,6302,7579,79,
215755,6302,7579,79,
276694,6302,8382,79,
222024,6302,8382,79,
294204,6302,8382,79,
109604,6302,8382,79,
166892,6302,8382,79,
194915,6302,8382,79,
176506,6302,8382,79,
334983,6302,8382,79,
220101,6302,8382,79,
142410,10435,8330,79,
292099,6302,4348,79,
149415,6302,4348,79,
63999,6302,4348,79,
111022,6302,4348,79,
6144,6302,8382,79,
30167,6302,9311,79,
51969,6302,9311,79,
226975,6302,1616,79,
296097,6302,6586,79,
251503,6302,6586,79,
352183,9167,4216,79,
51930,5762,8382,79,
14937,5762,8382,79,
332781,10435,7950,79,
154392,6302,7650,79,
33575,10179,216,79,
100728,9167,4385,79,
344292,9167,4385,79,
367542,10435,7950,79,
325100,9167,4385,79,
352254,9167,4385,79,
58610,9167,4385,79,
179737,10435,6126,79,
315108,10435,6075,79,
359267,10435,6126,79,
9362,10435,6126,79,
101011,10435,1884,79,
135892,10435,6075,79,
343553,5762,6826,79,
39192,10435,7950,79,
362725,10435,7950,79,
117009,10435,7950,79,
254757,10435,7950,79,
229056,10435,7950,79,
287141,6302,5568,79,
166195,6302,5568,79,
345583,6302,5568,79,
305000,6302,9234,79,
19069,10435,5048,79,
331913,6302,9234,79,
